Artist,LAST WEEK,PEAK POS.,WKS ON CHART
Miley Cyrus,1,1,6
SZA,2,2,11
PinkPantheress & Ice Spice,4,3,3
"Metro Boomin, The Weeknd & 21 Savage",3,3,12
Morgan Wallen,5,3,4
The Weeknd,7,6,30
Sam Smith & Kim Petras,6,1,22
Taylor Swift,8,1,18
Beyonce,9,6,28
David Guetta & Bebe Rexha,10,4,26
Lil Uzi Vert,11,10,19
Harry Styles,12,1,47
Kane Brown With Katelyn Brown,13,13,24
Drake & 21 Savage,14,2,16
Morgan Wallen,16,12,28
Bailey Zimmerman,18,16,37
Coi Leray,22,17,8
Chris Brown,17,12,24
Rema & Selena Gomez,25,19,25
Morgan Wallen,23,5,41
Meghan Trainor,20,11,18
Taylor Swift,24,2,18
RAYE Featuring 070 Shake,26,22,12
Luke Combs,27,23,15
"Metro Boomin, Future & Chris Brown",29,8,12
Zach Bryan,21,10,44
JVKE,19,10,26
Miguel,31,28,30
Lainey Wilson,34,29,15
Steve Lacy,28,1,34
Stephen Sanchez,32,23,34
SZA,30,11,17
SZA,33,29,11
Superstar Pride,99,34,2
Future Featuring Drake & Tems,36,1,40
Luke Combs,35,8,31
Post Malone Featuring Doja Cat,39,3,35
Luke Combs,15,15,2
Fuerza Regida X Grupo Frontera,42,25,9
Bizarrap & Shakira,40,9,6
HARDY Featuring Lainey Wilson,43,23,25
Cole Swindell,47,16,35
Zach Bryan Featuring Maggie Rogers,61,42,4
Jordan Davis,49,40,28
Lizzo,46,1,41
GloRilla & Cardi B,45,9,22
Lady Gaga,55,47,8
SZA,51,10,11
NF,-,49,1
Sia,50,28,28
Toosii,-,51,1
Rihanna,41,2,17
Carly Pearce,58,53,10
The Kid LAROI,53,40,4
Lizzo Featuring SZA,52,52,2
Carin Leon X Grupo Frontera,54,50,9
Drake & 21 Savage,64,5,16
Parker McCollum,60,58,8
Corey Kent,63,59,20
Morgan Wallen,59,37,12
Morgan Wallen,56,38,4
Lil Uzi Vert,-,62,1
Niall Horan,-,63,1
Lil Baby,65,59,21
SZA,62,17,11
Megan Moroney,57,53,11
Jordan Davis,96,67,5
Ice Spice,70,68,3
Polo G & Future,-,69,1
"Gabito Ballesteros, Peso Pluma & Natanael Cano",66,66,5
Brett Young,72,63,7
Sabrina Carpenter,68,56,6
Tiesto Featuring Tate McRae,69,69,5
Linkin Park,38,38,2
Lizzy McAlpine,-,75,1
"RE-
ENTRY","Metro Boomin, Travis Scott & Young Thug",-,42
77,Jason Aldean,78,77
78,d4vd,71,60
79,Peso Pluma X Natanael Cano,73,73
80,Morgan Wallen,67,51
81,Lil Baby Featuring Fridayy,86,8
82,Grupo Frontera,75,57
83,Latto Featuring LU KALA,-,83
84,Tory Lanez,77,63
85,Cody Johnson,88,84
86,Future,80,12
87,Tyler Hubbard,92,87
88,Ozuna Featuring Feid,85,85
89,NewJeans,76,74
90,Yandel & Feid,90,90
91,Karol G x Romeo Santos,79,56
92,Metro Boomin Featuring Don Toliver & Future,97,22
93,SZA,81,12
94,P!nk,-,94
95,NLE Choppa & 2Rare,87,85
96,NLE Choppa,-,96
97,Arcangel & Bad Bunny,82,68
98,Hotel Ugly,83,68
99,Dierks Bentley,-,99
100,Finesse2Tymes,94,86
