intervalo,movimiento,segundos,duracion
"(0.0, 150.0]",6.1416992669753085,5.0,00:05
"(150.0, 300.0]",6.656908468364197,10.0,00:10
"(300.0, 450.0]",3.783683834876543,15.0,00:15
"(450.0, 600.0]",5.393067997685185,20.0,00:20
"(600.0, 750.0]",4.271086033950618,25.0,00:25
"(750.0, 900.0]",3.854399112654321,30.0,00:30
"(900.0, 1050.0]",5.78078867669753,35.0,00:35
"(1050.0, 1200.0]",9.888657986111111,40.0,00:40
"(1200.0, 1350.0]",9.975805941358024,45.0,00:45
"(1350.0, 1500.0]",12.419355902777777,50.0,00:50
"(1500.0, 1650.0]",13.904543981481481,55.0,00:55
"(1650.0, 1800.0]",3.6966309799382717,60.0,01:00
"(1800.0, 1950.0]",8.257600790895061,65.0,01:05
"(1950.0, 2100.0]",21.705245177469134,70.0,01:10
"(2100.0, 2250.0]",8.18826774691358,75.0,01:15
"(2250.0, 2400.0]",2.0265728202160496,80.0,01:20
"(2400.0, 2550.0]",5.328519483024691,85.0,01:25
"(2550.0, 2700.0]",6.099481288580248,90.0,01:30
"(2700.0, 2850.0]",4.636308931327161,95.0,01:35
"(2850.0, 3000.0]",3.430597704475309,100.0,01:40
"(3000.0, 3150.0]",6.649088927469136,105.0,01:45
"(3150.0, 3300.0]",14.597210358796294,110.0,01:50
"(3300.0, 3450.0]",18.685472608024693,115.0,01:55
"(3450.0, 3600.0]",6.970080343364198,120.0,02:00
"(3600.0, 3750.0]",9.627374807098766,125.0,02:05
"(3750.0, 3900.0]",4.674342496141975,130.0,02:10
"(3900.0, 4050.0]",4.715840663580247,135.0,02:15
"(4050.0, 4200.0]",5.898357253086419,140.0,02:20
"(4200.0, 4350.0]",4.020195023148148,145.0,02:25
"(4350.0, 4500.0]",4.927250289351852,150.0,02:30
"(4500.0, 4650.0]",9.405740258487656,155.0,02:35
"(4650.0, 4800.0]",4.623217881944445,160.0,02:40
"(4800.0, 4950.0]",6.172175636574074,165.0,02:45
"(4950.0, 5100.0]",2.913412712191358,170.0,02:50
"(5100.0, 5250.0]",0.7290815972222222,175.0,02:55
"(5250.0, 5400.0]",16.339354552469135,180.0,03:00
"(5400.0, 5550.0]",9.509650462962963,185.0,03:05
"(5550.0, 5700.0]",22.72297916666667,190.0,03:10
"(5700.0, 5850.0]",36.402446952160496,195.0,03:15
"(5850.0, 6000.0]",12.930520061728394,200.0,03:20
"(6000.0, 6150.0]",11.952828221450618,205.0,03:25
"(6150.0, 6300.0]",8.784872974537036,210.0,03:30
"(6300.0, 6450.0]",8.638692322530865,215.0,03:35
"(6450.0, 6600.0]",6.46748013117284,220.0,03:40
"(6600.0, 6750.0]",3.203540798611111,225.0,03:45
"(6750.0, 6900.0]",5.222297357253087,230.0,03:50
"(6900.0, 7050.0]",5.601091724537037,235.0,03:55
"(7050.0, 7200.0]",4.494230709876543,240.0,04:00
"(7200.0, 7350.0]",4.771238233024691,245.0,04:05
"(7350.0, 7500.0]",11.085765914351851,250.0,04:10
"(7500.0, 7650.0]",8.509157503858024,255.0,04:15
"(7650.0, 7800.0]",10.287284047067901,260.0,04:20
"(7800.0, 7950.0]",3.1949768518518518,265.0,04:25
"(7950.0, 8100.0]",10.447067322530865,270.0,04:30
"(8100.0, 8250.0]",11.634201195987654,275.0,04:35
"(8250.0, 8400.0]",5.512145061728395,280.0,04:40
"(8400.0, 8550.0]",8.120879340277778,285.0,04:45
"(8550.0, 8700.0]",17.158717496141975,290.0,04:50
"(8700.0, 8850.0]",11.977936342592592,295.0,04:55
"(8850.0, 9000.0]",6.068263792438271,300.0,05:00
"(9000.0, 9150.0]",14.046361496913581,305.0,05:05
